timestep,pop,avg_viruses
405,192,0
406,192,0
407,192,0
408,192,0
409,192,0
410,192,0
411,192,0
412,192,0
413,192,0
414,192,0
415,192,0
416,192,0
417,192,0
418,192,0
419,192,0
420,192,0
421,192,0
422,192,0
423,192,0
424,192,0
425,192,0
426,192,0
427,192,0
428,192,0
429,192,0
430,192,0
431,192,0
432,192,0
433,192,0
434,192,0
435,192,0
436,192,0
437,192,0
438,192,0
439,192,0
440,192,0
441,192,0
442,192,0
443,192,0
444,192,0
445,192,0
446,192,0
447,192,0
448,192,0
449,192,0
450,192,0
451,192,0
452,192,0
453,192,0
454,192,0
455,192,0
456,192,0
457,192,0
458,192,0
459,192,0
460,192,0
461,192,0
462,192,0
463,192,0
464,192,0
465,192,0
466,192,0
467,192,0
468,192,0
469,192,0
470,192,0
471,192,0
472,192,0
473,192,0
474,192,0
475,192,0
476,192,0
477,192,0
478,192,0
479,192,0
480,192,0
481,192,0
482,192,0
483,192,0
484,192,0
485,192,0
486,192,0
487,192,0
488,192,0
489,192,0
490,192,0
491,192,0
492,192,0
493,192,0
494,192,0
495,192,0
496,192,0
497,192,0
498,192,0
499,192,0
500,192,0
501,192,0
502,192,0
503,192,0
504,192,0
505,192,0
506,192,0
507,192,0
508,192,0
509,192,0
510,192,0
511,192,0
512,192,0
513,192,0
514,192,0
515,192,0
516,192,0
517,192,0
518,192,0
519,192,0
520,192,0
521,192,0
522,192,0
523,192,0
524,192,0
525,192,0
526,192,0
527,192,0
528,192,0
529,192,0
530,192,0
531,192,0
532,192,0
533,192,0
534,192,0
535,192,0
536,192,0
537,192,0
538,192,0
539,192,0
540,192,0
541,192,0
542,192,0
543,192,0
544,192,0
545,192,0
546,192,0
547,192,0
548,192,0
549,192,0
550,192,0
551,192,0
552,192,0
553,192,0
554,192,0
555,192,0
556,192,0
557,192,0
558,192,0
559,192,0
560,192,0
561,192,0
562,192,0
563,192,0
564,192,0
565,192,0
566,192,0
567,192,0
568,192,0
569,192,0
570,192,0
571,192,0
572,192,0
573,192,0
574,192,0
575,192,0
576,192,0
577,192,0
578,192,0.00520833
579,192,0.00520833
580,192,0.00520833
581,192,0.00520833
582,192,0.00520833
583,192,0.00520833
584,192,0.00520833
585,192,0.00520833
586,192,0.00520833
587,192,0.00520833
588,192,0.00520833
589,192,0.00520833
590,192,0.00520833
591,192,0.00520833
592,192,0.00520833
593,192,0.00520833
594,192,0.00520833
595,192,0.00520833
596,192,0.00520833
597,192,0.00520833
598,192,0.00520833
599,192,0.00520833
600,192,0.00520833
601,192,0.00520833
602,192,0.00520833
603,192,0.00520833
604,192,0.00520833
605,192,0.00520833
606,192,0.00520833
607,192,0.00520833
608,192,0.00520833
609,192,0.00520833
610,192,0.00520833
611,192,0.00520833
612,192,0.00520833
613,192,0.00520833
614,192,0.00520833
615,192,0.00520833
616,192,0.00520833
617,192,0.00520833
618,192,0
619,192,0
620,192,0
621,192,0
622,192,0
623,192,0
624,192,0
625,192,0
626,192,0
627,192,0
628,192,0
629,192,0
630,192,0
631,192,0
632,192,0
633,192,0
634,192,0
635,192,0
636,192,0
637,192,0
638,192,0
639,192,0
640,192,0
641,192,0
642,192,0
643,192,0
644,192,0
645,192,0
646,192,0
647,192,0
648,192,0
649,192,0
650,192,0
651,192,0
652,192,0
653,192,0
654,192,0
655,192,0
656,192,0
657,192,0
658,192,0
659,192,0
660,192,0
661,192,0
662,192,0
663,192,0
664,192,0
665,192,0
666,192,0
667,192,0
668,192,0
669,192,0
670,192,0
671,192,0
672,192,0
673,192,0
674,192,0
675,192,0
676,192,0
677,192,0
678,192,0
679,192,0
680,192,0
681,192,0
682,192,0
683,192,0
684,192,0
685,192,0
686,192,0
687,192,0
688,192,0
689,192,0
690,192,0
691,192,0
692,192,0
693,192,0
694,192,0
695,192,0
696,192,0
697,192,0
698,192,0
699,192,0
700,192,0
701,192,0
702,192,0
703,192,0
704,192,0
705,192,0
706,192,0
707,192,0
708,192,0
709,192,0
710,192,0
711,192,0
712,192,0
713,192,0
714,192,0
715,192,0.00520833
716,192,0.00520833
717,192,0.00520833
718,192,0.00520833
719,192,0.015625
720,192,0.03125
721,192,0.0885417
722,192,0.177083
723,192,0.286458
724,192,0.546875
725,192,0.744792
726,191,0.764398
727,191,0.86911
728,190,0.847368
729,188,0
730,188,0
731,188,0
732,188,0
733,188,0
734,188,0
735,188,0
736,188,0
737,188,0
738,188,0
739,188,0
740,188,0
741,188,0
742,188,0
743,188,0
744,188,0
745,188,0
746,188,0
747,188,0
748,188,0
749,188,0
750,188,0
751,188,0
752,188,0
753,188,0
754,188,0
755,188,0
756,188,0
757,188,0
758,188,0
759,188,0
760,188,0
761,188,0
762,188,0
763,188,0
764,188,0
765,188,0
766,188,0
767,188,0
768,188,0
769,188,0
770,188,0
771,188,0
772,188,0
773,188,0
774,188,0
775,188,0
776,188,0
777,188,0
778,188,0
779,188,0
780,188,0
781,188,0
782,188,0
783,188,0
784,188,0
785,188,0
786,188,0
787,188,0
788,188,0
789,188,0
790,188,0
791,188,0
792,188,0
793,188,0
794,188,0
795,188,0
796,188,0
797,188,0
798,188,0
799,188,0
800,188,0
801,188,0
802,188,0
803,188,0
804,188,0
805,188,0
806,188,0
807,188,0
808,188,0
809,188,0
810,188,0
811,188,0
812,188,0
813,188,0
814,188,0
815,188,0
816,188,0
817,188,0
818,188,0
819,188,0
820,188,0
821,188,0
822,188,0
823,188,0
824,188,0
825,188,0
826,188,0
827,188,0
828,188,0
829,188,0
830,188,0
831,188,0
832,188,0
833,188,0
834,188,0
835,188,0
836,188,0
837,188,0
838,188,0
839,188,0
840,188,0
841,188,0
842,188,0
843,188,0
844,188,0
845,188,0
846,188,0
847,188,0
848,188,0
849,188,0
850,188,0
851,188,0
852,188,0
853,188,0
854,188,0
855,188,0
856,188,0
857,188,0
858,188,0
859,188,0
860,188,0
861,188,0
862,188,0
863,188,0
864,188,0
865,188,0
866,188,0
867,188,0
868,188,0
869,188,0
870,188,0
871,188,0
872,188,0
873,188,0
874,188,0
875,188,0
876,188,0
877,188,0
878,188,0
879,188,0
880,188,0
881,188,0
882,188,0
883,188,0
884,188,0
885,188,0
886,188,0
887,188,0
888,188,0
889,188,0
890,188,0
891,188,0
892,188,0
893,188,0
894,188,0
895,188,0
896,188,0
897,188,0
898,188,0
899,188,0
900,188,0
901,188,0
902,188,0
903,188,0
904,188,0
905,188,0
906,188,0
907,188,0
908,188,0
909,188,0
910,188,0
911,188,0
912,188,0
913,188,0
914,188,0
915,188,0
916,188,0
917,188,0
918,188,0
919,188,0
920,188,0
921,188,0
922,188,0
923,188,0
924,188,0
925,188,0
926,188,0
927,188,0
928,188,0
929,188,0
930,188,0
931,188,0
932,188,0
933,188,0
934,188,0
935,188,0
936,188,0
937,188,0
938,188,0
939,188,0
940,188,0
941,188,0
942,188,0
943,188,0
944,188,0
945,188,0
946,188,0
947,188,0
948,188,0
949,188,0
950,188,0
951,188,0
952,188,0
953,188,0
954,188,0
955,188,0
956,188,0
957,188,0
958,188,0
959,188,0
960,188,0
961,188,0
962,188,0
963,188,0
964,188,0
965,188,0
966,188,0
967,188,0
968,188,0
969,188,0
970,188,0
971,188,0
972,188,0
973,188,0
974,188,0
975,188,0
976,188,0
977,188,0
978,188,0
979,188,0
980,188,0
981,188,0
982,188,0
983,188,0
984,188,0
985,188,0
986,188,0
987,188,0
988,188,0
989,188,0
990,188,0
991,188,0
992,188,0
993,188,0
994,188,0
995,188,0
996,188,0
997,188,0
998,188,0
999,188,0
